Date,download
2012-04-22,5.291
2012-04-23,2.7310000000000003
2012-04-24,5.111000000000001
2012-04-25,6.1979999999999995
2012-04-26,4.827
2012-04-27,8.349
2012-04-28,5.585
2012-04-29,4.079
2012-04-30,2.8739999999999997
2012-05-01,9.221
2012-05-02,4.28
2012-05-03,4.077
2012-05-04,3.383
2012-05-05,3.946
2012-05-06,3.5010000000000003
2012-05-07,3.912
2012-05-08,4.018
2012-05-09,4.395
2012-05-10,4.864
2012-05-11,5.83
2012-05-12,3.719
2012-05-13,3.299
2012-05-14,8.066
2012-05-15,4.415
2012-05-16,3.738
2012-05-17,2.512
2012-05-18,1.443
2012-05-19,3.82
2012-05-20,2.338
2012-05-21,4.426
2012-05-22,4.001
2012-05-23,1.847
2012-05-24,6.784
2012-05-25,3.205
2012-05-26,5.481
2012-05-27,3.6519999999999997
2012-05-28,2.718
2012-05-29,4.763
2012-05-30,3.324
2012-05-31,4.416
2012-06-01,2.818
2012-06-02,5.983
2012-06-03,5.305
2012-06-04,3.045
2012-06-05,6.001
2012-06-06,2.424
2012-06-07,2.045
2012-06-08,6.042000000000001
2012-06-09,0.141
2012-06-10,0.499
2012-06-11,1.466
2012-06-12,7.082999999999999
2012-06-13,1.929
2012-06-14,1.781
2012-06-15,4.178999999999999
2012-06-16,5.039
2012-06-17,6.41
2012-06-18,4.046
2012-06-19,1.435
2012-06-20,3.86
2012-06-21,2.3680000000000003
2012-06-22,5.9110000000000005
2012-06-23,2.583
2012-06-24,5.2139999999999995
2012-06-25,4.44
2012-06-26,6.477
2012-06-27,6.622999999999999
2012-06-28,3.6180000000000003
2012-06-29,5.428999999999999
2012-06-30,3.359
2012-07-01,3.281
2012-07-02,3.0869999999999997
2012-07-03,4.055
2012-07-04,5.189
2012-07-05,3.889
2012-07-06,4.59
2012-07-07,4.925
2012-07-08,5.916
2012-07-09,3.912
2012-07-10,2.827
2012-07-11,2.6689999999999996
2012-07-12,3.323
2012-07-13,4.221
2012-07-14,2.989
2012-07-15,4.824
2012-07-16,3.972
2012-07-17,1.584
2012-07-18,3.7
2012-07-19,3.7539999999999996
2012-07-20,2.269
2012-07-21,6.382999999999999
2012-07-22,7.874
2012-07-23,4.008
2012-07-24,2.044
2012-07-25,2.131
2012-07-26,4.01
2012-07-27,2.2769999999999997
2012-07-28,2.608
2012-07-29,5.275
2012-07-30,6.001
2012-07-31,6.922999999999999
2012-08-01,4.261
2012-08-02,3.273
2012-08-03,5.723
